index, start time, end time, latency (microsecond)
469, 1714494392.280996, 1714494392.304651, 23655
470, 1714494392.316536, 1714494392.336163, 19627
471, 1714494392.348616, 1714494392.368752, 20136
472, 1714494392.379294, 1714494392.399041, 19747
473, 1714494392.410039, 1714494392.424168, 14129
474, 1714494392.436011, 1714494392.451197, 15186
475, 1714494392.462310, 1714494392.480912, 18602
476, 1714494392.491505, 1714494392.510787, 19282
477, 1714494392.523214, 1714494392.540989, 17775
478, 1714494392.552920, 1714494392.571030, 18110
479, 1714494392.582014, 1714494392.599708, 17694
480, 1714494392.610853, 1714494392.629169, 18316
481, 1714494392.641911, 1714494392.659780, 17869
482, 1714494392.671531, 1714494392.689257, 17726
483, 1714494392.701488, 1714494392.719222, 17734
484, 1714494392.731012, 1714494392.749745, 18733
485, 1714494392.761939, 1714494392.779941, 18002
486, 1714494392.791702, 1714494392.809444, 17742
487, 1714494392.820789, 1714494392.834264, 13475
488, 1714494392.845637, 1714494392.864302, 18665
489, 1714494392.875429, 1714494392.894622, 19193
490, 1714494392.907021, 1714494392.925250, 18229
491, 1714494392.937420, 1714494392.955760, 18340
492, 1714494392.966200, 1714494392.987837, 21637
493, 1714494392.998897, 1714494393.17794, 18897
494, 1714494393.30388, 1714494393.52974, 22586
495, 1714494393.64153, 1714494393.87421, 23268
496, 1714494393.99304, 1714494393.121748, 22444
497, 1714494393.134292, 1714494393.153534, 19242
498, 1714494393.164807, 1714494393.185548, 20741
499, 1714494393.196927, 1714494393.220750, 23823
500, 1714494393.231615, 1714494393.250187, 18572
501, 1714494393.262809, 1714494393.280365, 17556
502, 1714494393.291713, 1714494393.310002, 18289
503, 1714494393.322053, 1714494393.341342, 19289
504, 1714494393.352003, 1714494393.372234, 20231
505, 1714494393.383075, 1714494393.400062, 16987
506, 1714494393.411229, 1714494393.429969, 18740
507, 1714494393.440750, 1714494393.459315, 18565
508, 1714494393.470420, 1714494393.486100, 15680
509, 1714494393.496769, 1714494393.518855, 22086
510, 1714494393.530899, 1714494393.549862, 18963
511, 1714494393.562131, 1714494393.588063, 25932
512, 1714494393.598699, 1714494393.616515, 17816
513, 1714494393.627267, 1714494393.645230, 17963
514, 1714494393.657652, 1714494393.676070, 18418
515, 1714494393.687354, 1714494393.705975, 18621
516, 1714494393.716348, 1714494393.732888, 16540
517, 1714494393.743372, 1714494393.764335, 20963
518, 1714494393.774795, 1714494393.793468, 18673
519, 1714494393.806179, 1714494393.829685, 23506
520, 1714494393.841779, 1714494393.862133, 20354
521, 1714494393.873196, 1714494393.894071, 20875
522, 1714494393.906206, 1714494393.924828, 18622
523, 1714494393.936072, 1714494393.954686, 18614
524, 1714494393.964990, 1714494393.983200, 18210
525, 1714494393.994128, 1714494394.12640, 18512
526, 1714494394.25033, 1714494394.44815, 19782
527, 1714494394.55876, 1714494394.79643, 23767
528, 1714494394.89877, 1714494394.111449, 21572
529, 1714494394.121654, 1714494394.140230, 18576
530, 1714494394.150515, 1714494394.169736, 19221
531, 1714494394.179929, 1714494394.195873, 15944
532, 1714494394.206131, 1714494394.223149, 17018
533, 1714494394.233342, 1714494394.252736, 19394
534, 1714494394.262964, 1714494394.281393, 18429
535, 1714494394.291610, 1714494394.310159, 18549
536, 1714494394.320393, 1714494394.338783, 18390
537, 1714494394.349006, 1714494394.368589, 19583
538, 1714494394.378992, 1714494394.397719, 18727
539, 1714494394.407926, 1714494394.443780, 35854
540, 1714494394.454025, 1714494394.471544, 17519
541, 1714494394.481801, 1714494394.499373, 17572
542, 1714494394.509547, 1714494394.529446, 19899
543, 1714494394.539706, 1714494394.558256, 18550
544, 1714494394.569312, 1714494394.590089, 20777
545, 1714494394.600284, 1714494394.615258, 14974
546, 1714494394.625452, 1714494394.643190, 17738
547, 1714494394.653442, 1714494394.670156, 16714
548, 1714494394.680386, 1714494394.699279, 18893
549, 1714494394.709474, 1714494394.727230, 17756
550, 1714494394.737408, 1714494394.754226, 16818
551, 1714494394.764357, 1714494394.782791, 18434
552, 1714494394.793679, 1714494394.808915, 15236
553, 1714494394.820257, 1714494394.839077, 18820
554, 1714494394.851264, 1714494394.870645, 19381
555, 1714494394.881968, 1714494394.900075, 18107
556, 1714494394.911251, 1714494394.930649, 19398
557, 1714494394.941797, 1714494394.961856, 20059
558, 1714494394.972842, 1714494394.992114, 19272
559, 1714494395.3055, 1714494395.21431, 18376
560, 1714494395.31969, 1714494395.51209, 19240
561, 1714494395.63624, 1714494395.86258, 22634
562, 1714494395.98939, 1714494395.120803, 21864
563, 1714494395.133032, 1714494395.153279, 20247
564, 1714494395.165424, 1714494395.185904, 20480
565, 1714494395.197194, 1714494395.215575, 18381
566, 1714494395.226847, 1714494395.244453, 17606
567, 1714494395.257435, 1714494395.276343, 18908
568, 1714494395.288307, 1714494395.307135, 18828
569, 1714494395.319307, 1714494395.336644, 17337
570, 1714494395.347539, 1714494395.365437, 17898
571, 1714494395.376640, 1714494395.395708, 19068
572, 1714494395.408126, 1714494395.429428, 21302
573, 1714494395.441739, 1714494395.459589, 17850
574, 1714494395.470373, 1714494395.488188, 17815
575, 1714494395.499576, 1714494395.522152, 22576
576, 1714494395.532799, 1714494395.554532, 21733
577, 1714494395.565933, 1714494395.589053, 23120
578, 1714494395.600032, 1714494395.618324, 18292
